#flow_id,protocol,first_seen,last_seen,duration,src_ip,src_port,dst_ip,dst_port,ndpi_proto_num,ndpi_proto,server_name_sni,c_to_s_pkts,c_to_s_bytes,c_to_s_goodput_bytes,s_to_c_pkts,s_to_c_bytes,s_to_c_goodput_bytes,data_ratio,str_data_ratio,c_to_s_goodput_ratio,s_to_c_goodput_ratio,iat_flow_min,iat_flow_avg,iat_flow_max,iat_flow_stddev,iat_c_to_s_min,iat_c_to_s_avg,iat_c_to_s_max,iat_c_to_s_stddev,iat_s_to_c_min,iat_s_to_c_avg,iat_s_to_c_max,iat_s_to_c_stddev,pktlen_c_to_s_min,pktlen_c_to_s_avg,pktlen_c_to_s_max,pktlen_c_to_s_stddev,pktlen_s_to_c_min,pktlen_s_to_c_avg,pktlen_s_to_c_max,pktlen_s_to_c_stddev,cwr,ece,urg,ack,psh,rst,syn,fin,c_to_s_cwr,c_to_s_ece,c_to_s_urg,c_to_s_ack,c_to_s_psh,c_to_s_rst,c_to_s_syn,c_to_s_fin,s_to_c_cwr,s_to_c_ece,s_to_c_urg,s_to_c_ack,s_to_c_psh,s_to_c_rst,s_to_c_syn,s_to_c_fin,c_to_s_init_win,s_to_c_init_win,server_info,tls_version,ja3c,tls_client_unsafe,ja3s,tls_server_unsafe,tls_alpn,tls_supported_versions,ssh_client_hassh,ssh_server_hassh,flow_info,plen_bins,http_user_agent
30,6,1652020049.682,1652020050.086,0.404,45.57.90.1,443,192.168.1.6,62814,91.133,TLS.NetFlix,,3,222,24,4,252,0,-0.063,Mixed,10.8,0.0,39,134.0,254,89.5,39,146.5,254,107.5,0,147.0,294,147.0,66,74.0,90,11.3,54,63.0,66,5.2,0,0,0,7,1,1,0,2,0,0,0,3,1,0,0,2,0,0,0,4,0,1,0,0,0,0,,0,,0,,0,,,,,,100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,

60,6,1652020055.775,1652020055.781,0.006,52.97.179.242,443,192.168.1.6,62831,91.21,TLS.Outlook,,3,1359,1161,2,132,0,0.823,Upload,85.4,0.0,5,5.0,5,0.0,0,2.5,5,2.5,5,5.0,5,0.0,101,453.0,1157,497.8,66,66.0,66,0.0,0,0,0,5,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,,0,,0,,0,,,,,,0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0,

2,17,1652020043.026,1652020049.059,6.033,192.168.1.6,64995,192.168.1.1,53,5,DNS,132.172.32.13.in-addr.arpa,28,2724,1548,28,4050,2874,-0.196,Mixed,56.8,70.9,1,160.4,998,348.6,0,128.2,1010,331.1,0,146.7,1005,339.5,80,97.3,132,20.1,84,144.6,266,39.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,,,,::,0;44;25;17;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,

54,6,1652020055.179,1652020055.258,0.079,52.210.152.14,443,192.168.1.6,62821,91.265,TLS.AmazonAWS,,1,97,31,2,120,0,-0.106,Mixed,31.6,0.0,78,78.0,78,0.0,0,0.0,0,0.0,0,0.0,0,0.0,97,97.0,97,0.0,54,60.0,66,6.0,0,0,0,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,,0,,0,,0,,,,,,100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,

22,6,1652020047.958,1652020047.967,0.009,192.168.1.6,62598,199.232.58.248,443,91,TLS,,1,54,0,1,66,0,-0.100,Mixed,0.0,0.0,9,9.0,9,0.0,0,0.0,0,0.0,0,0.0,0,0.0,54,54.0,54,0.0,66,66.0,66,0.0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,,0,,0,,,,,,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,

1,6,1652020041.967,1652020041.979,0.012,192.168.1.6,62728,13.32.172.132,443,91.265,TLS.AmazonAWS,,1,54,0,1,66,0,-0.100,Mixed,0.0,0.0,12,12.0,12,0.0,0,0.0,0,0.0,0,0.0,0,0.0,54,54.0,54,0.0,66,66.0,66,0.0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,,0,,0,,,,,,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,

