#flow_id,protocol,first_seen,last_seen,duration,src_ip,src_port,dst_ip,dst_port,ndpi_proto_num,ndpi_proto,server_name_sni,c_to_s_pkts,c_to_s_bytes,c_to_s_goodput_bytes,s_to_c_pkts,s_to_c_bytes,s_to_c_goodput_bytes,data_ratio,str_data_ratio,c_to_s_goodput_ratio,s_to_c_goodput_ratio,iat_flow_min,iat_flow_avg,iat_flow_max,iat_flow_stddev,iat_c_to_s_min,iat_c_to_s_avg,iat_c_to_s_max,iat_c_to_s_stddev,iat_s_to_c_min,iat_s_to_c_avg,iat_s_to_c_max,iat_s_to_c_stddev,pktlen_c_to_s_min,pktlen_c_to_s_avg,pktlen_c_to_s_max,pktlen_c_to_s_stddev,pktlen_s_to_c_min,pktlen_s_to_c_avg,pktlen_s_to_c_max,pktlen_s_to_c_stddev,cwr,ece,urg,ack,psh,rst,syn,fin,c_to_s_cwr,c_to_s_ece,c_to_s_urg,c_to_s_ack,c_to_s_psh,c_to_s_rst,c_to_s_syn,c_to_s_fin,s_to_c_cwr,s_to_c_ece,s_to_c_urg,s_to_c_ack,s_to_c_psh,s_to_c_rst,s_to_c_syn,s_to_c_fin,c_to_s_init_win,s_to_c_init_win,server_info,tls_version,ja3c,tls_client_unsafe,ja3s,tls_server_unsafe,tls_alpn,tls_supported_versions,ssh_client_hassh,ssh_server_hassh,flow_info,plen_bins,http_user_agent
83,6,1650477489.298,1650477549.256,59.958,192.168.1.6,60713,52.97.202.66,443,91.219,TLS.Microsoft365,outlook.office365.com,25,11203,9541,33,12670,10458,-0.061,Mixed,85.2,82.5,1,3526.2,59622,14024.0,0,3154.3,59622,13309.6,0,2300.0,59651,11470.2,66,448.1,1506,527.8,68,383.9,1506,476.4,0,0,0,57,31,0,2,2,0,0,0,24,8,0,1,1,0,0,0,33,23,0,1,1,78,76,,TLSv1.2,656b9a2f4de6ed4909e157482860ab3d,OK,986571066668055ae9481cb84fda634a,OK,http/1.1,,,,http/1.1,2;18;0;2;8;0;18;5;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;5;0;0;0;5;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0;16;0;0,

84,6,1650477489.299,1650477549.256,59.957,192.168.1.6,60714,52.97.202.66,443,91.219,TLS.Microsoft365,outlook.office365.com,30,11662,9670,28,11285,9403,0.016,Mixed,82.9,83.3,1,3745.9,59572,14414.3,0,2494.1,59592,11905.8,0,2849.8,59601,12690.0,66,388.7,1506,533.9,68,403.0,1506,514.8,0,0,0,57,26,0,2,2,0,0,0,29,8,0,1,1,0,0,0,28,18,0,1,1,78,76,,TLSv1.2,656b9a2f4de6ed4909e157482860ab3d,OK,986571066668055ae9481cb84fda634a,OK,http/1.1,,,,http/1.1,3;21;0;3;9;3;9;3;0;0;0;3;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;6;0;0;6;0;18;0;0,

85,6,1650477489.299,1650477549.256,59.957,192.168.1.6,60715,52.97.202.66,443,91.219,TLS.Microsoft365,outlook.office365.com,34,15716,13460,46,15860,12776,-0.005,Mixed,85.6,80.5,1,3526.1,59572,14011.5,0,2301.6,59572,11454.1,0,1618.5,59601,9663.8,66,462.2,1506,583.3,68,344.8,1506,410.2,0,0,0,79,44,0,2,2,0,0,0,33,9,0,1,1,0,0,0,46,35,0,1,1,78,76,,TLSv1.2,656b9a2f4de6ed4909e157482860ab3d,OK,986571066668055ae9481cb84fda634a,OK,http/1.1,,,,http/1.1,1;15;1;1;5;1;19;15;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;3;0;0;3;0;13;0;0,

133,17,1650477598.905,1650477598.945,0.040,192.168.1.6,56301,192.168.1.1,53,5,DNS,sync.infomaniak.com,1,79,37,1,143,101,-0.288,Download,46.3,70.1,40,40.0,40,0.0,0,0.0,0,0.0,0,0.0,0,0.0,79,79.0,79,0.0,143,143.0,143,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,,,,::,0;50;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,

55,17,1650477401.815,1650477404.816,3.001,192.168.1.6,51135,239.255.255.250,1900,12,SSDP,,4,872,704,0,0,0,1.000,Upload,80.6,0.0,1000,1000.0,1000,0.0,1000,1000.0,1000,0.0,0,0.0,0,0.0,218,218.0,218,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,,,,,0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,Google Chrome/100.0.4896.127 Mac OS X

